[snake_collate_fn] Sample 51: channel=POO4h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249165.npy
[snake_collate_fn] Sample 52: channel=FCC2h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249149.npy
[snake_collate_fn] Sample 53: channel=C5, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249086.npy
[snake_collate_fn] Sample 54: channel=FCz, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249084.npy
[snake_collate_fn] Sample 55: channel=FT10, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249108.npy
[snake_collate_fn] Sample 56: channel=TPP10h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249110.npy
[snake_collate_fn] Sample 57: channel=Oz, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249073.npy
[snake_collate_fn] Sample 58: channel=C3, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249059.npy
[snake_collate_fn] Sample 59: channel=CCP2h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249154.npy
[snake_collate_fn] Sample 60: channel=TPP7h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249155.npy
[snake_collate_fn] Sample 61: channel=FCC3h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249123.npy
[snake_collate_fn] Sample 62: channel=FTT9h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249146.npy
[snake_collate_fn] Sample 63: channel=P10, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249114.npy
[snake_collate_fn] Sample 64: channel=P4, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249069.npy
[snake_collate_fn] Sample 65: channel=FTT10h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249151.npy
[snake_collate_fn] Sample 66: channel=CPZ, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249091.npy
[snake_collate_fn] Sample 67: channel=O2, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249074.npy
[snake_collate_fn] Sample 68: channel=F7, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249048.npy
[snake_collate_fn] Sample 69: channel=FC3, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249083.npy
[snake_collate_fn] Sample 70: channel=TPP8h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249158.npy
[snake_collate_fn] Sample 71: channel=FTT7h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249147.npy
[snake_collate_fn] Sample 72: channel=F5, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249079.npy
[snake_collate_fn] Sample 73: channel=CPP6h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249133.npy
[snake_collate_fn] Sample 74: channel=M1, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249057.npy
[snake_collate_fn] Sample 75: channel=OI1h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249167.npy
[snake_collate_fn] Sample 76: channel=FC2, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249055.npy
[snake_collate_fn] Sample 77: channel=FP1, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249045.npy
[snake_collate_fn] Sample 78: channel=CP1, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249063.npy
[snake_collate_fn] Sample 79: channel=PO3, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249098.npy
[snake_collate_fn] Sample 80: channel=POO3h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249164.npy
[snake_collate_fn] Sample 81: channel=CP5, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249062.npy
[snake_collate_fn] Sample 82: channel=C1, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249087.npy
[snake_collate_fn] Sample 83: channel=AF3, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249076.npy
[snake_collate_fn] Sample 84: channel=PPO1, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249134.npy
[snake_collate_fn] Sample 85: channel=CCP4h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249128.npy
[snake_collate_fn] Sample 86: channel=PPO9h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249159.npy
[snake_collate_fn] Sample 87: channel=P2, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249095.npy
[snake_collate_fn] Sample 88: channel=AFp3h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249138.npy
[snake_collate_fn] Sample 89: channel=C6, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249089.npy
